StateID,MenTotal,WomenTotal
1,2350806,2499965
10,456876,486856
11,319046,353345
12,9914361,10364086
13,4968887,5232748
15,713981,707677
16,830627,826748
17,6312600,6541926
18,3258279,3356139
19,1548035,1570067
2,386319,352246
20,1445980,1457840
21,2179025,2245351
22,2281239,2382222
23,651040,679118
24,2906277,3089802
25,3293426,3495893
26,4880579,5044989
27,2731831,2758895
28,1448717,1537503
29,2981332,3093968
30,517860,512002
31,943547,950374
32,1450091,1437634
33,659131,672717
34,4372321,4587840
35,1032086,1052742
36,9604111,10194117
37,4895368,5157196
38,382121,363354
39,5686081,5923675
4,3385055,3424891
40,1930615,1965636
41,1993822,2031305
42,6260160,6530345
44,512581,543557
45,2376759,2516685
46,430587,424857
47,3217073,3380308
48,13616977,13802635
49,1506614,1487327
5,1461651,1516293
50,308026,316610
51,4113988,4251964
53,3580888,3589079
54,907621,929222
55,2864115,2899102
56,298301,284899
6,19366579,19616268
72,1653997,1814966
8,2731315,2705204
9,1754046,1840432
