id,State,County,TotalPop_x,TotalPopSum
1001,Alabama,Autauga County,1845,55036
1003,Alabama,Baldwin County,3988,203360
1005,Alabama,Barbour County,3071,26201
1007,Alabama,Bibb County,2643,22580
1009,Alabama,Blount County,7532,57667
1011,Alabama,Bullock County,1488,10478
1013,Alabama,Butler County,2089,20126
1015,Alabama,Calhoun County,2488,115527
1017,Alabama,Chambers County,3655,33895
1019,Alabama,Cherokee County,3474,25855
1021,Alabama,Chilton County,4381,43805
1023,Alabama,Choctaw County,2972,13188
1025,Alabama,Clarke County,1281,24625
1027,Alabama,Clay County,5101,13407
1029,Alabama,Cleburne County,2886,14939
1031,Alabama,Coffee County,2242,51073
1033,Alabama,Colbert County,3480,54435
1035,Alabama,Conecuh County,2015,12649
1037,Alabama,Coosa County,3945,10955
1039,Alabama,Covington County,4111,37519
1041,Alabama,Crenshaw County,1953,13866
1043,Alabama,Cullman County,6076,81703
1045,Alabama,Dale County,5149,49393
1047,Alabama,Dallas County,6190,40755
1049,Alabama,DeKalb County,5903,71194
1051,Alabama,Elmore County,9701,80989
1053,Alabama,Escambia County,5598,37621
1055,Alabama,Etowah County,3691,103132
1057,Alabama,Fayette County,1509,16657
1059,Alabama,Franklin County,3778,31507
1061,Alabama,Geneva County,4715,26572
1063,Alabama,Greene County,1669,8533
1065,Alabama,Hale County,3632,14995
1067,Alabama,Henry County,1794,17110
1069,Alabama,Houston County,5535,104108
1071,Alabama,Jackson County,6210,52326
1073,Alabama,Jefferson County,3114,659460
1075,Alabama,Lamar County,4572,14021
1077,Alabama,Lauderdale County,1979,92590
1079,Alabama,Lawrence County,1836,33288
1081,Alabama,Lee County,5644,156597
1083,Alabama,Limestone County,4808,91695
1085,Alabama,Lowndes County,3574,10362
1087,Alabama,Macon County,1375,19358
1089,Alabama,Madison County,1063,353213
1091,Alabama,Marengo County,4732,19743
1093,Alabama,Marion County,4355,30058
1095,Alabama,Marshall County,3160,94738
1097,Alabama,Mobile County,1391,414328
